CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Age,Education,Employee Count
35 - 44,R&D,Medical,1638,Female,Manufacturing Director,Married,38,Associates Degree,1
35 - 44,R&D,Life Sciences,1614,Female,Manufacturing Director,Married,36,Master's Degree,1
35 - 44,R&D,Medical,1587,Female,Healthcare Representative,Single,35,Master's Degree,1
45 - 54,R&D,Medical,1611,Female,Laboratory Technician,Single,45,Doctoral Degree,1
45 - 54,R&D,Medical,1980,Female,Manufacturing Director,Single,54,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1641,Female,Manufacturing Director,Single,40,Bachelor's Degree,1
35 - 44,Sales,Marketing,1815,Female,Sales Executive,Divorced,41,High School,1
25 - 34,Sales,Medical,1912,Female,Sales Executive,Divorced,31,Associates Degree,1
35 - 44,Sales,Life Sciences,1962,Female,Sales Executive,Married,35,Master's Degree,1
25 - 34,Sales,Medical,1915,Female,Sales Executive,Married,34,High School,1
35 - 44,Sales,Technical Degree,1880,Female,Sales Executive,Married,36,Master's Degree,1
45 - 54,Sales,Medical,1503,Female,Sales Executive,Married,47,Bachelor's Degree,1
Over 55,Sales,Life Sciences,1938,Female,Manager,Married,58,Bachelor's Degree,1
Under 25,Sales,Medical,1445,Female,Sales Executive,Married,24,High School,1
35 - 44,Sales,Marketing,1425,Female,Sales Executive,Single,36,Master's Degree,1
35 - 44,R&D,Life Sciences,1552,Male,Healthcare Representative,Divorced,40,Associates Degree,1
25 - 34,R&D,Medical,1948,Male,Research Scientist,Divorced,31,Associates Degree,1
35 - 44,R&D,Life Sciences,1737,Male,Laboratory Technician,Married,39,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1774,Male,Sales Executive,Divorced,34,Bachelor's Degree,1
35 - 44,HR,Human Resources,1642,Male,Human Resources,Married,44,Doctoral Degree,1
35 - 44,HR,Other,1972,Male,Human Resources,Married,38,Master's Degree,1
Over 55,R&D,Life Sciences,1837,Male,Research Director,Married,58,Master's Degree,1
25 - 34,R&D,Other,1932,Male,Research Scientist,Married,34,Master's Degree,1
35 - 44,R&D,Life Sciences,1594,Male,Laboratory Technician,Married,36,Master's Degree,1
45 - 54,R&D,Medical,1606,Male,Healthcare Representative,Married,50,Doctoral Degree,1
35 - 44,R&D,Life Sciences,1547,Male,Healthcare Representative,Married,42,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,2049,Male,Healthcare Representative,Married,35,Master's Degree,1
35 - 44,R&D,Medical,1704,Male,Research Scientist,Single,35,Master's Degree,1
35 - 44,R&D,Medical,1496,Male,Manufacturing Director,Single,44,High School,1
45 - 54,R&D,Medical,1539,Male,Research Director,Single,50,Doctoral Degree,1
25 - 34,R&D,Life Sciences,1753,Male,Healthcare Representative,Single,29,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1927,Male,Sales Executive,Married,28,Associates Degree,1
Over 55,HR,Human Resources,1973,Male,Manager,Married,55,Master's Degree,1
45 - 54,R&D,Medical,1460,Male,Healthcare Representative,Divorced,45,Bachelor's Degree,1
45 - 54,R&D,Medical,1789,Male,Research Director,Divorced,46,Master's Degree,1
35 - 44,R&D,Life Sciences,1998,Male,Research Scientist,Divorced,42,Master's Degree,1
25 - 34,R&D,Other,1992,Male,Laboratory Technician,Divorced,25,High School,1
35 - 44,R&D,Medical,1448,Male,Research Scientist,Married,41,Doctoral Degree,1
Over 55,R&D,Life Sciences,1501,Male,Healthcare Representative,Married,55,Master's Degree,1
35 - 44,R&D,Medical,1766,Male,Healthcare Representative,Married,38,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1549,Male,Laboratory Technician,Married,33,Master's Degree,1
25 - 34,R&D,Other,2053,Male,Laboratory Technician,Married,29,Associates Degree,1
35 - 44,R&D,Life Sciences,1790,Male,Healthcare Representative,Married,36,Bachelor's Degree,1
35 - 44,R&D,Medical,2003,Male,Laboratory Technician,Married,35,Master's Degree,1
45 - 54,R&D,Technical Degree,1465,Male,Manufacturing Director,Married,45,Bachelor's Degree,1
25 - 34,R&D,Medical,1755,Male,Research Scientist,Married,34,Master's Degree,1
25 - 34,R&D,Medical,1586,Male,Laboratory Technician,Single,29,High School,1
35 - 44,R&D,Medical,2020,Male,Research Scientist,Single,44,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1515,Male,Healthcare Representative,Single,33,Doctoral Degree,1
25 - 34,Sales,Medical,1669,Male,Sales Executive,Divorced,29,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1732,Male,Sales Executive,Divorced,46,Bachelor's Degree,1
35 - 44,Sales,Marketing,1943,Male,Sales Executive,Divorced,42,Master's Degree,1
25 - 34,Sales,Technical Degree,1535,Male,Sales Executive,Married,34,Bachelor's Degree,1
45 - 54,Sales,Marketing,1591,Male,Manager,Married,50,Bachelor's Degree,1
35 - 44,Sales,Medical,1706,Male,Sales Executive,Married,43,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1882,Male,Sales Executive,Married,34,Bachelor's Degree,1
Under 25,Sales,Medical,2021,Male,Sales Representative,Single,21,High School,1
35 - 44,Sales,Life Sciences,1678,Male,Sales Executive,Single,41,Associates Degree,1
25 - 34,R&D,Medical,1979,Female,Research Director,Married,31,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1845,Female,Sales Executive,Married,45,Master's Degree,1
45 - 54,R&D,Medical,1520,Female,Manager,Divorced,54,Master's Degree,1
35 - 44,R&D,Medical,1675,Female,Laboratory Technician,Single,38,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1736,Female,Manufacturing Director,Single,31,High School,1
45 - 54,HR,Life Sciences,1744,Female,Human Resources,Married,45,Bachelor's Degree,1
25 - 34,R&D,Medical,1622,Female,Manufacturing Director,Divorced,28,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1581,Female,Research Scientist,Married,26,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,2034,Female,Manufacturing Director,Married,41,Master's Degree,1
Over 55,R&D,Life Sciences,1441,Female,Research Scientist,Married,56,Associates Degree,1
45 - 54,R&D,Medical,1665,Female,Manager,Married,54,Doctoral Degree,1
45 - 54,R&D,Medical,1509,Female,Laboratory Technician,Married,49,Associates Degree,1
25 - 34,R&D,Medical,1834,Female,Research Scientist,Married,28,Bachelor's Degree,1
25 - 34,Sales,Medical,1864,Female,Sales Representative,Married,27,High School,1
35 - 44,Sales,Marketing,1909,Female,Sales Executive,Married,41,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1554,Female,Sales Representative,Married,35,Master's Degree,1
25 - 34,Sales,Marketing,2035,Female,Sales Executive,Married,34,Bachelor's Degree,1
Over 55,R&D,Life Sciences,2026,Male,Healthcare Representative,Divorced,56,Master's Degree,1
35 - 44,R&D,Life Sciences,1949,Male,Laboratory Technician,Married,36,Master's Degree,1
45 - 54,R&D,Life Sciences,1712,Male,Healthcare Representative,Married,45,High School,1
35 - 44,R&D,Technical Degree,1854,Male,Research Scientist,Married,42,Master's Degree,1
25 - 34,R&D,Medical,1693,Male,Laboratory Technician,Single,26,Bachelor's Degree,1
Over 55,Sales,Medical,1824,Male,Manager,Divorced,58,Bachelor's Degree,1
35 - 44,Sales,Marketing,2036,Male,Sales Executive,Divorced,36,Master's Degree,1
35 - 44,HR,Human Resources,1890,Male,Human Resources,Single,36,High School,1
25 - 34,R&D,Life Sciences,1970,Male,Healthcare Representative,Divorced,33,Associates Degree,1
25 - 34,R&D,Life Sciences,1956,Male,Research Scientist,Married,31,Bachelor's Degree,1
45 - 54,R&D,Medical,1644,Male,Manager,Married,48,Doctoral Degree,1
35 - 44,Sales,Life Sciences,1849,Male,Sales Executive,Married,43,Master's Degree,1
25 - 34,HR,Life Sciences,1499,Male,Human Resources,Divorced,30,Bachelor's Degree,1
Over 55,R&D,Medical,1697,Male,Healthcare Representative,Divorced,60,Master's Degree,1
35 - 44,R&D,Life Sciences,1664,Male,Healthcare Representative,Divorced,36,Associates Degree,1
35 - 44,R&D,Life Sciences,1772,Male,Laboratory Technician,Divorced,41,Master's Degree,1
35 - 44,R&D,Medical,1768,Male,Laboratory Technician,Divorced,42,Bachelor's Degree,1
35 - 44,R&D,Medical,1654,Male,Manufacturing Director,Married,39,Bachelor's Degree,1
35 - 44,R&D,Medical,1936,Male,Manufacturing Director,Married,39,Associates Degree,1
Over 55,R&D,Technical Degree,1873,Male,Research Scientist,Married,55,Master's Degree,1
Over 55,R&D,Life Sciences,1483,Male,Research Scientist,Married,57,Associates Degree,1
35 - 44,R&D,Life Sciences,1666,Male,Research Director,Married,43,Associates Degree,1
35 - 44,R&D,Life Sciences,1999,Male,Research Scientist,Married,41,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1546,Male,Research Scientist,Married,45,Bachelor's Degree,1
45 - 54,R&D,Medical,1993,Male,Healthcare Representative,Single,47,Bachelor's Degree,1
35 - 44,R&D,Medical,1800,Male,Research Director,Single,39,High School,1
25 - 34,R&D,Medical,1516,Male,Manager,Single,32,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1966,Male,Manufacturing Director,Single,32,Master's Degree,1
35 - 44,R&D,Other,1595,Male,Manager,Single,42,Associates Degree,1
Over 55,Sales,Marketing,1578,Male,Manager,Married,55,Doctoral Degree,1
25 - 34,Sales,Technical Degree,1823,Male,Sales Executive,Married,34,Associates Degree,1
25 - 34,Sales,Marketing,1950,Male,Sales Executive,Single,34,Bachelor's Degree,1
45 - 54,R&D,Medical,1775,Female,Manufacturing Director,Married,53,Master's Degree,1
25 - 34,Sales,Life Sciences,1681,Female,Sales Executive,Divorced,33,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,2017,Female,Research Director,Married,37,Bachelor's Degree,1
Over 55,R&D,Medical,1423,Female,Research Director,Married,58,Bachelor's Degree,1
35 - 44,R&D,Other,1847,Female,Research Scientist,Married,36,Master's Degree,1
25 - 34,Sales,Other,2018,Female,Sales Executive,Divorced,25,Associates Degree,1
35 - 44,Sales,Marketing,1835,Female,Sales Representative,Married,38,Master's Degree,1
35 - 44,HR,Medical,1550,Male,Manager,Single,40,Associates Degree,1
25 - 34,R&D,Life Sciences,2064,Male,Manufacturing Director,Married,27,Bachelor's Degree,1
35 - 44,R&D,Medical,1885,Male,Research Scientist,Married,37,Master's Degree,1
25 - 34,Sales,Technical Degree,1541,Male,Sales Representative,Married,34,Associates Degree,1
35 - 44,Sales,Life Sciences,1556,Male,Sales Representative,Single,36,Master's Degree,1
25 - 34,HR,Human Resources,1747,Female,Human Resources,Divorced,30,Bachelor's Degree,1
25 - 34,HR,Human Resources,1944,Female,Human Resources,Married,27,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1459,Female,Manufacturing Director,Single,31,Doctoral Degree,1
25 - 34,R&D,Life Sciences,1537,Female,Research Scientist,Single,31,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,1487,Female,Sales Executive,Single,29,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1427,Female,Sales Representative,Single,31,Master's Degree,1
25 - 34,HR,Technical Degree,1467,Female,Human Resources,Married,34,Master's Degree,1
45 - 54,R&D,Technical Degree,1572,Female,Manufacturing Director,Married,53,Doctoral Degree,1
25 - 34,R&D,Life Sciences,1433,Female,Research Scientist,Single,31,Bachelor's Degree,1
25 - 34,Sales,Marketing,1752,Female,Sales Representative,Single,29,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1807,Male,Laboratory Technician,Married,34,Master's Degree,1
25 - 34,R&D,Medical,1504,Male,Laboratory Technician,Single,28,Associates Degree,1
45 - 54,Sales,Life Sciences,2044,Male,Sales Executive,Divorced,50,Master's Degree,1
45 - 54,Sales,Life Sciences,1716,Male,Sales Executive,Married,47,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,1486,Male,Sales Representative,Married,28,Bachelor's Degree,1
Under 25,Sales,Marketing,2023,Male,Sales Representative,Married,23,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,1928,Male,Sales Representative,Single,29,Bachelor's Degree,1
25 - 34,HR,Human Resources,1842,Male,Human Resources,Married,31,Doctoral Degree,1
Under 25,HR,Human Resources,1714,Male,Human Resources,Married,24,High School,1
25 - 34,R&D,Technical Degree,1960,Male,Laboratory Technician,Divorced,28,Bachelor's Degree,1
Over 55,R&D,Technical Degree,2032,Male,Laboratory Technician,Married,56,Associates Degree,1
35 - 44,R&D,Medical,1573,Male,Manufacturing Director,Married,38,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1522,Male,Research Scientist,Single,29,Master's Degree,1
Over 55,R&D,Life Sciences,1907,Male,Laboratory Technician,Single,56,Associates Degree,1
35 - 44,R&D,Life Sciences,1534,Male,Laboratory Technician,Single,40,Master's Degree,1
35 - 44,R&D,Medical,1809,Male,Manufacturing Director,Single,37,Master's Degree,1
25 - 34,R&D,Life Sciences,1692,Male,Laboratory Technician,Single,32,Master's Degree,1
45 - 54,Sales,Marketing,1457,Male,Sales Executive,Divorced,46,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1439,Male,Sales Representative,Married,25,Associates Degree,1
35 - 44,Sales,Medical,1639,Male,Sales Executive,Married,35,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1562,Male,Sales Executive,Married,30,Bachelor's Degree,1
25 - 34,Sales,Marketing,1761,Male,Sales Executive,Married,31,Master's Degree,1
25 - 34,Sales,Life Sciences,1734,Male,Sales Executive,Single,32,Associates Degree,1
Under 25,Sales,Marketing,1780,Male,Sales Representative,Single,21,High School,1
25 - 34,Sales,Medical,1876,Male,Sales Representative,Single,30,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1939,Female,Research Scientist,Single,32,Associates Degree,1
25 - 34,R&D,Other,1421,Female,Healthcare Representative,Single,29,High School,1
45 - 54,Sales,Medical,1691,Female,Sales Representative,Married,48,Associates Degree,1
Under 25,Sales,Medical,1624,Female,Sales Representative,Single,18,Associates Degree,1
25 - 34,HR,Medical,1818,Female,Human Resources,Married,26,Associates Degree,1
35 - 44,R&D,Life Sciences,1569,Female,Laboratory Technician,Divorced,35,Bachelor's Degree,1
Under 25,R&D,Medical,1783,Female,Laboratory Technician,Married,22,High School,1
25 - 34,Sales,Marketing,1933,Female,Sales Executive,Single,28,Associates Degree,1
35 - 44,R&D,Medical,1792,Male,Research Scientist,Divorced,44,Associates Degree,1
25 - 34,R&D,Life Sciences,1464,Male,Laboratory Technician,Married,31,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,1767,Male,Research Scientist,Married,43,Bachelor's Degree,1
Under 25,R&D,Medical,1494,Male,Laboratory Technician,Single,24,Bachelor's Degree,1
25 - 34,Sales,Marketing,1967,Male,Sales Executive,Married,31,Master's Degree,1
25 - 34,HR,Human Resources,1844,Male,Human Resources,Divorced,29,Bachelor's Degree,1
25 - 34,R&D,Medical,2027,Male,Research Scientist,Married,29,Master's Degree,1
25 - 34,R&D,Medical,1604,Male,Laboratory Technician,Married,28,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1649,Male,Laboratory Technician,Single,40,Bachelor's Degree,1
Under 25,R&D,Medical,1684,Male,Laboratory Technician,Single,23,High School,1
45 - 54,Sales,Marketing,2055,Male,Sales Executive,Divorced,50,Bachelor's Degree,1
35 - 44,Sales,Medical,1645,Male,Sales Executive,Divorced,35,Associates Degree,1
35 - 44,Sales,Marketing,1733,Male,Sales Executive,Divorced,36,Doctoral Degree,1
45 - 54,Sales,Life Sciences,1968,Male,Sales Executive,Single,53,Master's Degree,1
25 - 34,Sales,Marketing,1862,Male,Sales Executive,Single,32,Master's Degree,1
35 - 44,Sales,Life Sciences,1797,Male,Sales Executive,Single,35,Bachelor's Degree,1
45 - 54,R&D,Medical,1821,Female,Healthcare Representative,Married,46,Associates Degree,1
45 - 54,Sales,Life Sciences,1869,Female,Sales Executive,Married,46,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1420,Male,Laboratory Technician,Single,49,Associates Degree,1
35 - 44,R&D,Life Sciences,1458,Female,Laboratory Technician,Single,39,Bachelor's Degree,1
25 - 34,Sales,Medical,1489,Female,Sales Executive,Single,34,Master's Degree,1
25 - 34,Sales,Life Sciences,1758,Female,Sales Executive,Single,33,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1905,Male,Research Scientist,Married,34,Master's Degree,1
25 - 34,R&D,Life Sciences,1868,Male,Research Scientist,Single,29,Associates Degree,1
35 - 44,Sales,Other,1667,Male,Sales Executive,Single,35,Master's Degree,1
Under 25,R&D,Life Sciences,1878,Male,Research Scientist,Single,22,High School,1
Under 25,Sales,Life Sciences,1702,Male,Sales Representative,Divorced,23,Bachelor's Degree,1
